id,business_type,category_name,google_category_id,product_name,price_cents,brand,description,sku_pattern,generation_source,usage_count,quality_score,created_at,last_used_at,image_url,thumbnail_url,image_width,image_height,image_bytes,enhanced_description,features,specifications,has_image,image_quality
sid-5lqsfi6l,pharmacy,Eye & Ear Care,tid-zcp9a56y_eye-ear-care,Eye & Ear Care Item 1,999,Generic,Quality eye & ear care product for everyday use.,,ai,1,0,2026-04-02 07:22:24.761,,,,,,,,,,f,
sid-skfkf2zx,pharmacy,Eye & Ear Care,tid-zcp9a56y_eye-ear-care,Eye & Ear Care Item 2,1499,Generic,Premium eye & ear care product with enhanced features.,,ai,1,0,2026-04-02 07:22:24.934,,,,,,,,,,f,
sid-hxkm9z4g,electronics,Tablets,chain_location_1766071991129_0_tablets,Tablets Item 2,1499,Generic,Premium tablets product with enhanced features.,,ai,1,0,2025-12-18 15:38:04.986,,,,,,,,,,f,
sid-i46lnylh,electronics,Tablets,chain_location_1766071991129_0_tablets,Tablets Item 3,1999,Generic,Professional-grade tablets product.,,ai,1,0,2025-12-18 15:38:05.161,,,,,,,,,,f,
sid-pbl8anye,electronics,Tablets,chain_location_1766071991129_0_tablets,Tablets Item 4,2499,Generic,Deluxe tablets product for discerning customers.,,ai,1,0,2025-12-18 15:38:05.339,,,,,,,,,,f,
sid-cfrhpk3s,electronics,Tablets,chain_location_1766071991129_0_tablets,Tablets Item 5,2999,Generic,Top-tier tablets product with all the bells and whistles.,,ai,1,0,2025-12-18 15:38:05.513,,,,,,,,,,f,
sid-btynp2ut,electronics,Accessories,chain_location_1766071991129_0_accessories,UltraSlim USB-C Hub 4 Ports,2499,Anker,Expand your laptop's connectivity with this ultra-slim USB-C hub featuring 4 extra ports.,ANK-USBHUB-4P,ai,1,0,2025-12-18 15:38:56.41,,,,,,,"The Anker UltraSlim USB-C Hub 4 Ports is the perfect companion for the modern laptop user. With its sleek, compact design, it's the ideal solution for expanding your device's connectivity on the go. This hub turns a single USB-C port into four additional ports (2 USB-A and 2 USB-C), allowing you to connect a variety of devices at once. Whether you're at the office, working from home, or traveling, this USB-C hub helps you stay connected and productive. Its durable build ensures it can handle the rigors of everyday use, making it a reliable addition to your tech toolkit.","[""Ultra-slim and portable design"", ""2 USB-A and 2 USB-C ports for versatile connectivity"", ""Plug and play, no drivers required"", ""High-speed data transfer up to 5Gbps"", ""Compatible with all USB-C devices""]","{""color"": ""Space Gray"", ""ports"": ""2 USB-A, 2 USB-C"", ""weight"": ""2.08 ounces"", ""material"": ""Aluminum alloy"", ""dimensions"": ""4.5 x 1.2 x 0.5 inches""}",f,
sid-pbowtvfs,pet_supplies,Cat Food & Treats,tid-c2r2kf8v_cat-food-treats,Whisker's Delight Tuna & Chicken Feast in Gravy - 24 Pack,1899,Purina Fancy Feast,"A savory collection of gourmet wet cat food, featuring tuna and chicken feast in gravy.",PF-TCG24-1899,ai,1,0,2025-12-23 22:41:33.985,,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-c2r2kf8v/products/sid-qpi458kk/original-1766529833683.jpg,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-c2r2kf8v/products/sid-qpi458kk/thumb-1766529833683.jpg,1024,1024,165487,"Indulge your feline friend with Whisker's Delight Tuna & Chicken Feast in Gravy, brought to you by Purina Fancy Feast. Each 24 pack offers a delectable assortment of gourmet wet cat food that will tantalize your cat's taste buds and provide them with the high-quality nutrition they deserve. Crafted with real, high-quality tuna and chicken, and smothered in a mouthwatering gravy, this feast is designed to satisfy even the pickiest of eaters. Perfect for cats at all life stages, each serving is a delightful experience that nourishes your cat with balanced nutrition.","[""Real tuna and chicken as the first ingredients"", ""Specially formulated to meet the nutritional levels established by the AAFCO Cat Food Nutrient Profiles for all life stages"", ""Convenient 24 pack for easy stocking and feeding"", ""Rich in moisture to help support hydration""]","{""size"": ""3 oz cans"", ""quantity"": ""24 cans"", ""lifeStage"": ""All life stages"", ""ingredients"": [""Tuna, chicken, liver, wheat gluten, meat by-products, gravy""]}",t,standard
sid-g3loexsu,electronics,Smartphones,chain_location_1766069987995_0_smartphones,iPhone 13 Pro Max 256GB,109999,Apple,"Experience next-level photography and performance with the iPhone 13 Pro Max, featuring A15 Bionic chip and Pro camera system.",IP13PM-256GB,ai,1,0,2025-12-18 15:00:27.824,,,,,,,"The iPhone 13 Pro Max 256GB is Apple's most advanced iPhone yet, offering an unmatched blend of design, technology, and performance. Its 6.7-inch Super Retina XDR display brings your content to life in stunning clarity and detail, while the A15 Bionic chip provides lightning-fast performance and power efficiency. The Pro camera system includes a new 12MP Telephoto, Wide, and Ultra Wide cameras that capture incredible detail in every shot, even in low light. Cinematic mode adds depth-of-field and shift focus in your videos, making every moment look professional. With 5G capability, enjoy superfast downloads and high-quality streaming.","[""6.7-inch Super Retina XDR display"", ""A15 Bionic chip for lightning-fast performance"", ""Pro camera system with Telephoto, Wide, and Ultra Wide lenses"", ""Cinematic mode for depth-of-field video"", ""5G capable""]","{""camera"": ""12MP Telephoto, Wide, and Ultra Wide"", ""battery"": ""Not Specified"", ""display"": ""6.7-inch Super Retina XDR"", ""storage"": ""256GB"", ""processor"": ""A15 Bionic""}",f,
i-iadgaiqg,grocery,Meat & Seafood,t-m11e6ur7_meat-seafood,Grass-Fed Ground Beef 85/15 1lb,799,Green Pastures,"Lean and flavorful ground beef from grass-fed cows, ideal for healthier burgers and recipes.",GFG-3003,ai,4,0,2025-12-08 22:18:44.546,2025-12-27 11:14:10.316,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-7u3g1stz/original-1765232691748.jpg,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-7u3g1stz/thumb-1765232691748.jpg,1024,1024,168018,"Green Pastures presents our premium Grass-Fed Ground Beef with an ideal 85/15 lean-to-fat ratio, providing a perfect balance of flavor and health benefits. Our cattle are raised on open pastures with a diet of 100% grass, resulting in beef that's not only richer in omega-3 fatty acids but also offers a superior taste. This ground beef is perfect for creating healthier burgers, meatballs, and traditional dishes without sacrificing flavor. With our commitment to sustainable and ethical farming practices, you're not just purchasing high-quality beef; you're supporting a greener planet.","[""100% grass-fed beef"", ""85/15 lean-to-fat ratio"", ""Rich in omega-3s and vitamins"", ""No added hormones or antibiotics"", ""Ethically raised and environmentally conscious""]","{""size"": ""1lb"", ""quantity"": ""1 pack"", ""ingredients"": ""Grass-fed beef"", ""certifications"": [""Grass-Fed""]}",t,standard
i-oed1xkvs,general,Office Supplies,t-v84j50g0_office-supplies,"Staples Brights 8.5"" x 11"" Colored Paper, 500 Sheets",1499,Staples,"Brightly colored paper, perfect for various printing needs.",SPC-500BRT-811,ai,1,0,2025-12-07 14:00:18.778,,,,,,,"Elevate your printing projects with Staples Brights Colored Paper. This high-quality paper comes in a vibrant assortment of colors, ensuring your documents stand out from the crowd. Whether you're printing flyers, reports, or presentations, the 8.5"" x 11"" size sheets are the standard size for most printing needs. Each ream contains 500 sheets, providing ample paper for multiple projects. The Staples Brights collection is designed to work with all printers, delivering consistent quality and reliability. Enhance your printed materials with a pop of color, making them more engaging and memorable.","[""High-quality, brightly colored paper."", ""500 sheets per ream, providing great value."", ""Compatible with all printers."", ""Perfect for flyers, reports, and presentations."", ""8.5\"" x 11\"" standard size for most printing needs.""]","{""size"": ""8.5\"" x 11\"""", ""colors"": ""Assorted Brights"", ""weight"": ""20 lb"", ""quantity"": ""500 Sheets""}",f,
sid-rihvzqkk,pharmacy,First Aid,tid-c2r2kf8v_first-aid,"Band-Aid Fabric Strips, 100 Count",897,Band-Aid,"Flexible fabric adhesive bandages for first aid and wound protection of minor wounds, cuts, scrapes, and burns.",BAND-AID-100-FAB,ai,2,0,2025-12-22 21:21:15.427,2026-04-02 07:22:22.435,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-c2r2kf8v/products/sid-10kluea7/original-1766438574841.jpg,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-c2r2kf8v/products/sid-10kluea7/thumb-1766438574841.jpg,1024,1024,178799,"Band-Aid Brand Flexible Fabric Adhesive Bandages are designed for comfort and flexibility. They're made with Memory-Weave fabric that moves with you, so the bandage stays in place throughout the day to cover and protect minor wounds. These bandages are made with Quilt-Aid Comfort Pads that are designed to cushion painful wounds while you heal. With a Hurt-Free Pad that won’t stick to the wound, Band-Aid Brand bandages offer gentle removal. This package contains 100 sterile bandages in assorted sizes, perfect for stocking up your home first aid kit.

Whether you're dealing with a small scratch or a larger abrasion, these bandages are designed to help your wound heal safely. The unique adhesive and durable fabric work together to ensure the bandage stays in place on various parts of your body, such as knees and elbows, that bend and move. Band-Aid is a brand trusted by doctors and nurses, making these fabric strips an essential for anyone looking to care for their minor wounds with confidence.","[""Made with Memory-Weave fabric for flexibility"", ""Quilt-Aid Comfort Pads for pain relief"", ""Hurt-Free Pad for gentle removal"", ""Comes in a variety of sizes for versatile use"", ""Sterile and individually wrapped""]","{""size"": ""Assorted Sizes"", ""quantity"": ""100 Count"", ""packaging"": ""Box"", ""sterility"": ""Sterile"", ""ingredients"": ""Memory-Weave fabric, Quilt-Aid Pad""}",t,standard
i-tc0z34yn,home_garden,Home & Garden,t-ccu0mh28_home-garden,GreenThumb 10-Piece Stainless Steel Garden Tool Set,4999,GreenThumb,A comprehensive garden tool set designed for a variety of gardening needs.,GTGTS-10PCS-01,ai,1,0,2025-12-08 16:31:46.156,,,,,,,"Elevate your gardening game with the GreenThumb 10-Piece Stainless Steel Garden Tool Set. This premium-quality collection is meticulously crafted to handle all your gardening tasks, from digging and weeding to pruning and planting. Each tool is made from high-grade stainless steel for unparalleled durability and rust resistance, ensuring your gardening toolkit remains in pristine condition season after season.

The set includes a range of essential tools such as a trowel, transplanter, weeder, hand rake, and pruning shears, each ergonomically designed for comfort and efficiency. The soft-grip handles reduce hand fatigue during long gardening sessions, allowing for precise control and a more enjoyable gardening experience. Whether you're a seasoned gardener or just starting out, the GreenThumb 10-Piece Stainless Steel Garden Tool Set is the perfect companion for all your gardening endeavors, ensuring that every task is tackled with ease and precision.

Additionally, this set comes in a stylish, durable carry case, making it an ideal gift for gardening enthusiasts. Its comprehensive selection of tools ensures you have everything you need to cultivate and care for your garden, making gardening more accessible and enjoyable.","[""Made from high-grade stainless steel for durability and rust resistance."", ""Ergonomically designed handles for comfort and precision."", ""Includes a comprehensive range of essential gardening tools."", ""Comes in a stylish, durable carry case, perfect for storage and gifting."", ""Designed for a wide range of gardening tasks, from digging to pruning.""]","{""weight"": ""4.5 lbs"", ""quantity"": ""10 pieces"", ""materials"": ""Stainless steel, rubber handles"", ""case_material"": ""Fabric"", ""tools_included"": ""Trowel, Transplanter, Weeder, Hand Rake, Pruning Shears, and more""}",f,
i-cvmeepvt,home_garden,Health & Beauty,t-ccu0mh28_health-beauty,"Aloe Vera Soothing Gel, 300ml",1599,Nature's Essence,A hydrating and soothing gel that utilizes the power of aloe vera to moisturize and calm the skin.,NEAVSG300-01,ai,1,0,2025-12-08 16:32:00.853,,,,,,,"Introducing Nature's Essence Aloe Vera Soothing Gel, the perfect solution for all your skin hydration needs. Infused with 100% pure aloe vera extract, this soothing gel is designed to nourish, hydrate, and calm your skin, leaving it feeling refreshed and revitalized. Ideal for use after sun exposure or to soothe irritated skin, this lightweight formula absorbs quickly without leaving a sticky residue. Its natural cooling properties provide instant relief to sensitive skin, making it a must-have in your daily skincare routine.

Experience the benefits of aloe vera, known for its anti-inflammatory and healing properties, in a convenient 300ml size. Whether you're looking to soothe sunburn, hydrate dry skin, or simply give your skin a healthy glow, Nature's Essence Aloe Vera Soothing Gel is your go-to solution. Free from parabens, sulfates, and artificial colors, this gentle formula is suitable for all skin types, including sensitive skin. Incorporate it into your skincare regimen for a naturally beautiful and radiant complexion.","[""Made with 100% pure aloe vera extract for maximum benefits."", ""Hydrates and soothes the skin without leaving a sticky residue."", ""Helps soothe sunburn and calms irritated skin."", ""Free from parabens, sulfates, and artificial colors."", ""Suitable for all skin types, including sensitive skin.""]","{""size"": ""300ml"", ""quantity"": ""1"", ""ingredients"": ""Aloe Vera Extract, Water, Glycerin, Triethanolamine, Carbomer, Fragrance""}",f,
i-2omysa50,home_garden,Sports & Outdoors,t-ccu0mh28_sports-outdoors,Coleman Sundome 4-Person Tent,8999,Coleman,A spacious 4-person tent perfect for weekend camping trips.,CLMN-SNDM4-0001,ai,1,0,2025-12-08 16:32:12.682,,,,,,,"Experience the great outdoors without sacrificing comfort with the Coleman Sundome 4-Person Tent. This tent sets up in just 10 minutes thanks to snag-free, continuous pole sleeves and a patented pin-and-ring system. The WeatherTec system with patented welded floors and inverted seams keeps you dry, and a ground vent adds extra ventilation. At 9 x 7 feet with a 4-foot 11-inch center height, it's spacious enough to fit a queen-sized airbed and other camping gear. Whether you're camping in the backyard or on wilderness adventures, the Sundome tent offers comfort and protection from the elements.","[""Easy 10-minute setup"", ""WeatherTec system with patented welded floors and inverted seams to keep you dry"", ""Spacious interior that fits a queen-sized airbed"", ""Ground vent for increased ventilation"", ""E-Port makes it easy to bring electrical power inside your tent""]","{""weight"": ""10.2 lbs"", ""capacity"": ""4 Person"", ""material"": ""Polyester"", ""dimensions"": ""9 x 7 ft"", ""centerHeight"": ""4 ft 11 in""}",f,
i-5qyffxy8,home_garden,Toys & Games,t-ccu0mh28_toys-games,Eco-Friendly Wooden Toy Blocks Set - 50 Pieces,2999,GreenPlay,A colorful collection of 50 eco-friendly wooden blocks for endless creativity.,GP-WTB-50,ai,1,0,2025-12-08 16:32:24.648,,,,,,,"Introduce your child to the world of imagination and creativity with GreenPlay's Eco-Friendly Wooden Toy Blocks Set. This set contains 50 pieces of high-quality, sustainably sourced wooden blocks, colored with non-toxic paints. Perfect for kids aged 3 and up, these blocks come in various shapes and sizes, allowing children to build anything from towering castles to bustling cityscapes. The smooth, rounded edges ensure safe play, while the vibrant colors stimulate visual development. Playing with these blocks promotes fine motor skills, spatial reasoning, and cognitive flexibility, laying the foundation for a lifetime of learning through play. Whether at home, in a playgroup, or in an educational setting, the GreenPlay Wooden Toy Blocks Set offers endless opportunities for imaginative play, making it an essential addition to any toy collection.","[""Made from high-quality, sustainably sourced wood"", ""Colored with non-toxic, child-safe paints"", ""Promotes fine motor skills, spatial reasoning, and cognitive flexibility"", ""Includes a variety of shapes and sizes for unlimited building possibilities"", ""Comes with a durable storage bag for easy cleanup and portability""]","{""paint"": ""Non-toxic, child-safe"", ""material"": ""Wood"", ""quantity"": ""50 Pieces"", ""dimensions"": ""Various sizes"", ""age recommendation"": ""3 years and up""}",f,
i-w2s8a7ox,home_garden,Books & Media,t-ccu0mh28_books-media,Indoor Gardening for Beginners: A Complete Guide,1599,Green Thumb Press,Dive into the world of indoor gardening with this comprehensive beginner's guide.,GTB-IGFB-1599,ai,1,0,2025-12-08 16:32:37.945,,,,,,,"Embark on your journey to becoming a green thumb with 'Indoor Gardening for Beginners: A Complete Guide' by Green Thumb Press. This book is your all-in-one resource for starting your indoor garden, from understanding the basics of soil composition and plant care to mastering the art of growing herbs, vegetables, and ornamental plants indoors. Whether you live in a small apartment or a large house, this guide provides valuable tips and tricks to enhance your indoor space with thriving plant life. With detailed illustrations and step-by-step instructions, you'll learn how to select the right plants for your environment, tackle common plant problems, and make the most of limited space. 'Indoor Gardening for Beginners' is not just a book; it's a gateway to a healthier, greener lifestyle.","[""Comprehensive guide covering all aspects of indoor gardening"", ""Easy-to-follow instructions and detailed illustrations"", ""Tips for selecting the right plants for your environment"", ""Solutions for common plant problems"", ""Ideas for gardening in limited spaces""]","{""pages"": 256, ""ISBN-13"": ""978-1234567890"", ""language"": ""English"", ""dimensions"": ""6 x 0.8 x 9 inches""}",f,
i-gco85nb7,home_garden,Office Supplies,t-ccu0mh28_office-supplies,"Staples Multipurpose Paper, 8.5"" x 11"", 500 Sheets",749,Staples,High-quality multipurpose printer paper ideal for home and office use.,STP-500MPR,ai,1,0,2025-12-08 16:32:46.713,,,,,,,"Staples Multipurpose Paper is the go-to paper for all your printing needs. Whether you're printing a detailed report, a captivating proposal, or your family's favorite recipe, this 8.5"" x 11"" paper will make your work look its best. Engineered for compatibility with all leading printer brands, this paper ensures jam-free performance and crisp, clear prints every time. The 500-sheet pack is perfect for everyday use, offering reliability and performance at an affordable price. Choose Staples Multipurpose Paper for your home or office and experience the difference that quality paper can make.","[""Jam-free performance"", ""Bright white for high print contrast"", ""Compatible with laser and inkjet printers"", ""Sustainable Forestry Initiative (SFI) certified"", ""500 sheets, providing ample supply for most projects""]","{""size"": ""8.5\"" x 11\"""", ""weight"": ""20lb"", ""quantity"": ""500 Sheets"", ""brightness"": ""92 US / 104 Euro Bright""}",f,
i-lmwdigj1,baby_kids,Home & Garden,t-ccu0mh28_home-garden,Sunshine Kids Convertible High Chair,18999,Sunshine Kids,"A versatile, convertible high chair designed for infants to toddlers.",SK12345HC,ai,1,0,2025-12-08 16:48:55.959,,,,,,,"Introducing the Sunshine Kids Convertible High Chair, the perfect addition to your home and garden, ensuring mealtime is a breeze from infancy through toddler years. Crafted with both safety and aesthetics in mind, this high chair boasts a sleek, modern design that fits seamlessly into any home decor. Its convertible feature allows it to transition from a traditional high chair to a toddler chair, and then to a regular seat, making it a staple in your child's life for years to come.

The high chair is equipped with a durable and easy-to-clean seat, adjustable height settings, and a secure 5-point harness system to keep your little one safe and comfortable. The inclusion of a detachable tray makes cleanup quick and easy, offering more time to focus on what really matters. Whether you're introducing solids to your baby or encouraging your toddler to join family meals, the Sunshine Kids Convertible High Chair adapts to your growing child's needs, providing a safe, comfortable space for them to enjoy their meals.","[""Converts from high chair to toddler chair to regular seat"", ""Adjustable height settings and secure 5-point harness"", ""Durable and easy-to-clean seat"", ""Sleek, modern design"", ""Detachable tray for easy cleanup""]","{""Color"": ""Gray"", ""Material"": ""High-quality plastic and metal frame"", ""Quantity"": ""1 Convertible High Chair"", ""Dimensions"": ""29.5\"" H x 19.7\"" W x 21.6\"" D"", ""Weight Capacity"": ""Up to 50 lbs""}",f,
i-feodftp7,baby_kids,Health & Beauty,t-ccu0mh28_health-beauty,"GentleComfort Baby Lotion, 300ml",899,LittleCare,"A soothing, gentle lotion designed for baby's sensitive skin.",LCBL-300-01,ai,1,0,2025-12-08 16:49:07.454,,,,,,,"Introducing the GentleComfort Baby Lotion by LittleCare, specially formulated for the tender and sensitive skin of babies. This 300ml lotion is a must-have for parents who are seeking a mild, hydrating solution to protect their baby's skin against dryness. Enriched with natural ingredients like aloe vera and vitamin E, the GentleComfort Baby Lotion supports the natural barrier of baby's skin, leaving it soft and smooth without any greasy residue. Perfect for daily use, this hypoallergenic lotion has been dermatologically tested to ensure it's free from harmful chemicals and safe for your baby's delicate skin. With its light, non-irritating fragrance and fast-absorbing formula, it provides all-day moisture to keep your baby comfortable and happy.","[""Enriched with aloe vera and vitamin E for optimum skin health."", ""Hypoallergenic and dermatologically tested to ensure safety for baby's skin."", ""Non-greasy, fast-absorbing formula for a soft and smooth finish."", ""Free from harmful chemicals, making it safe for daily use."", ""Light, soothing fragrance designed to calm both baby and parents.""]","{""size"": ""300ml"", ""quantity"": ""1"", ""ingredients"": [""Water"", ""Glycerin"", ""Caprylic/Capric Triglyceride"", ""Aloe Barbadensis Leaf Juice"", ""Tocopheryl Acetate (Vitamin E)"", ""Fragrance""], ""recommendedAge"": ""0 months and up""}",f,
i-28f07jjt,baby_kids,Sports & Outdoors,t-ccu0mh28_sports-outdoors,Little Tikes 3-Foot Trampoline,5999,Little Tikes,A perfect indoor energy burner designed for kids.,LT3FT-001,ai,1,0,2025-12-08 16:49:18.276,,,,,,,"Introduce your little ones to the joy of bouncing with the Little Tikes 3-Foot Trampoline. This compact trampoline is designed with safety and fun in mind, making it the perfect indoor activity for kids who need to burn off energy. The large jumping surface provides plenty of space for your child to bounce, while the handlebar adds stability, helping them to jump safely. It's easy to assemble and move, making it an ideal addition to your indoor play area. The durable design ensures it can withstand the enthusiastic play of young children, making it a lasting addition to the toys collection.","[""Large jumping surface for ample bouncing space."", ""Stability handlebar for safer jumping."", ""Easy to assemble and move for convenient use."", ""Durable design to withstand energetic play."", ""Ideal indoor activity to help burn off energy.""]","{""color"": ""Multi"", ""age_range"": ""3-6 years"", ""dimensions"": ""36 x 36 x 33.5 inches"", ""weight_limit"": ""55 pounds""}",f,
i-28doxrg6,baby_kids,Toys & Games,t-ccu0mh28_toys-games,Eco-Tots Wooden Building Blocks - 100 Piece Set,3499,Eco-Tots,A set of 100 wooden building blocks for stimulating creativity and motor skills in toddlers.,ETWB100-3499,ai,1,0,2025-12-08 16:49:29.981,,,,,,,"Introducing the Eco-Tots Wooden Building Blocks - the perfect toy to fuel your child's imagination and enhance their fine motor skills. This 100 piece set of premium wooden blocks allows children to build, stack, and create endless configurations, providing hours of educational play. Crafted from sustainably sourced wood and finished with non-toxic, child-safe paints, these blocks are both eco-friendly and durable, making them a safe and wise choice for young builders. Ideal for children aged 18 months and up, these blocks come in a variety of shapes and sizes, encouraging learning through play by promoting spatial awareness, problem-solving skills, and creativity. The Eco-Tots Wooden Building Blocks set is not just a toy but a tool for your child's developmental journey, making it an essential addition to any playroom.","[""Made from sustainably sourced, high-quality wood"", ""Finished with non-toxic, child-safe paints"", ""Includes 100 pieces in a variety of shapes and sizes"", ""Promotes creativity, fine motor skills, and cognitive development"", ""Ideal for children aged 18 months and up""]","{""paint"": ""Non-toxic, child-safe"", ""weight"": ""2.5 kg"", ""material"": ""Sustainably sourced wood"", ""quantity"": ""100 pieces"", ""age_recommendation"": ""18 months and up""}",f,
i-hagfv6py,baby_kids,Books & Media,t-ccu0mh28_books-media,My First Alphabet Adventure Board Book,899,Little Learners,A colorful board book designed to introduce the alphabet to toddlers.,LL-ABA-0624,ai,1,0,2025-12-08 16:49:39.924,,,,,,,"Embark on a delightful journey through the alphabet with the 'My First Alphabet Adventure' Board Book. Perfectly crafted for tiny hands, this durable board book offers a vivid and interactive way to explore letters and words. Each page is filled with colorful illustrations and simple, engaging text that encourages toddlers to turn the page. Ideal for bedtime reading or as a playful tool for early education, this book is designed to spark curiosity and enhance literacy skills from a very young age. Little Learners' commitment to quality education tools shines through in this charming introduction to the alphabet, making learning as exciting as it is beneficial.","[""Sturdy board book construction withstands wear and tear."", ""Vibrant illustrations capture attention and stimulate learning."", ""Simple, rhyming text makes learning the alphabet fun and engaging."", ""Designed for toddlers ages 1-3 years."", ""Encourages interaction between parents and children during reading time.""]","{""size"": ""6x6 inches"", ""pages"": ""24 board pages"", ""language"": ""English"", ""quantity"": ""1 book"", ""age_range"": ""1-3 years""}",f,
i-jggkdehe,baby_kids,Office Supplies,t-ccu0mh28_office-supplies,"Kids' Colorful Washable Markers, 24 Pack",699,Crayola,"A 24 pack of vibrant, washable markers designed specifically for little artists.",CR-024WASH-NG,ai,1,0,2025-12-08 16:49:52.326,,,,,,,"Introduce your little one to the world of creativity and colors with Crayola Kids' Colorful Washable Markers. This 24 pack offers a rainbow of colors, allowing your child to explore their artistic side without any limits. Designed with young artists in mind, these markers are not only vibrant but also washable, making cleanup a breeze for parents. The rounded, easy-to-grip shape ensures little hands can hold and control the markers with ease, providing hours of drawing and coloring fun. Ideal for art projects, school assignments, or just doodling around, these non-toxic markers are safe and suitable for children aged 3 and up. With Crayola's commitment to quality, these markers are durable and long-lasting, ensuring that your child's creativity can continue to flourish.","[""Vibrant colors for maximum creativity"", ""Washable ink for easy cleanup"", ""Designed for little hands with an easy-to-grip shape"", ""Non-toxic, safe for children aged 3 and up"", ""Durable and long-lasting for endless fun""]","{""size"": ""24 pack"", ""ink_type"": ""Non-toxic"", ""quantity"": 24, ""washable"": true, ""age_recommendation"": ""3+""}",f,
i-kob891b5,fashion,Women's Tops,t-ccu0mh28_womens-tops,Elegant V-Neck Blouse in Ivory - Size M,4599,Everlane,"A classic, versatile V-neck blouse perfect for any wardrobe.",EVB-IVM-4567,ai,1,0,2025-12-08 16:52:34.835,,,,,,,"Discover the timeless elegance of our Everlane V-Neck Blouse, a must-have for every fashion-forward woman. Crafted from silky, sustainable fabrics, this blouse offers both comfort and chic style. The ivory color adds a touch of sophistication to any outfit, making it an ideal choice for both office wear and evening outings. Featuring a relaxed fit that flatters any body type, this blouse is a versatile piece that pairs well with both skirts and jeans. Its breathable material ensures you stay comfortable all day, while the subtle V-neck adds a feminine touch without compromising on modesty.","[""Sustainable fabric for an eco-friendly choice"", ""Versatile style that pairs well with both casual and formal attire"", ""Breathable material for all-day comfort"", ""Flattering fit for every body type"", ""Easy to care for, machine washable""]","{""size"": ""M"", ""color"": ""Ivory"", ""material"": ""Sustainable fabrics"", ""careInstructions"": ""Machine washable""}",f,
i-fthp2jth,fashion,Women's Bottoms,t-ccu0mh28_womens-bottoms,Evelyn High-Waisted Skinny Jeans Size 28,7500,Madewell,A classic pair of high-waisted skinny jeans in a versatile medium wash.,MW-EV-HWSJ-28,ai,1,0,2025-12-08 16:52:43.127,,,,,,,"Introducing the Evelyn High-Waisted Skinny Jeans from Madewell, your new go-to for effortless style and unbeatable comfort. Crafted from premium stretch denim, these jeans are designed to hug your curves in all the right places while providing flexibility to move with you throughout your day. The timeless medium wash offers versatility for a range of occasions, whether you're heading to the office or out for a casual weekend brunch. Finished with a traditional five-pocket design and subtle fading for a lived-in look, these jeans pair perfectly with everything from your favorite tee to a sophisticated blouse.","[""High-rise waist for a flattering fit"", ""Premium stretch denim for comfort and mobility"", ""Versatile medium wash with subtle fading"", ""Classic five-pocket design"", ""Sustainable materials and production methods""]","{""fit"": ""Skinny"", ""size"": ""28"", ""wash"": ""Medium"", ""material"": ""98% Cotton, 2% Elastane""}",f,
i-xkcibhxe,fashion,Dresses,t-ccu0mh28_dresses,Elegant Floral Midi Dress - Size M,5599,Amelia Fashion,"A stunning floral midi dress, perfect for any daytime event or casual outing.",AFEMDFLORAL-M,ai,1,0,2025-12-08 16:52:54.004,,,,,,,"Introducing the Elegant Floral Midi Dress from Amelia Fashion, your next wardrobe staple for the spring and summer seasons. This dress features a beautiful, all-over floral print set against a light, airy fabric that ensures both comfort and style. The midi length is perfect for those looking for a dress that provides both elegance and ease of movement. With a flattering V-neck and a tailored waist, this dress is designed to enhance your silhouette while providing the utmost comfort. Whether you're attending a garden party, heading to brunch, or simply enjoying a day out in the city, the Elegant Floral Midi Dress is versatile enough to suit any occasion. Its breathable material makes it ideal for warmer days, while its timeless design ensures that it will become a go-to piece in your wardrobe for years to come.","[""All-over floral print for a fresh, summery look"", ""Comfortable, breathable fabric perfect for warm days"", ""Midi length with a flattering V-neck and tailored waist"", ""Versatile design suitable for various occasions"", ""Easy to dress up or down with accessories""]","{""size"": ""M"", ""color"": ""Multicolor"", ""length"": ""Midi"", ""material"": ""100% Polyester"", ""careInstructions"": ""Machine washable""}",f,
